orf_name,miller,presnyak,geisberg,half_life
YDR511W,5.59,7.6,46.0,19.73
YDR512C,29.21,10.3,41.0,26.8366666667
YDR513W,24.16,20.5,55.0,33.22
YDR514C,6.08,1.9,12.0,6.66
YDR515W,4.96,,23.0,13.98
YDR516C,23.58,,62.0,42.79
YDR517W,16.17,13.9,24.0,18.0233333333
YDR518W,33.79,17.1,33.0,27.9633333333
YDR519W,28.19,9.1,23.0,20.0966666667
YDR520C,4.52,,33.0,18.76
YDR524C,4.61,3.8,37.0,15.1366666667
YDR524C-B,11.44,,33.0,22.22
YDR525W-A,,3.1,76.0,39.55
YDR527W,8.28,3.9,14.0,8.72666666667
YDR528W,4.63,3.7,52.0,20.11
YDR529C,13.27,17.8,83.0,38.0233333333
YDR530C,16.54,11.1,,13.82
YDR531W,22.64,6.2,33.0,20.6133333333
YDR532C,5.73,6.8,27.0,13.1766666667
YDR533C,24.32,,93.0,58.66
YDR534C,,32.3,32.0,32.15
YDR536W,,7.7,,7.7
YDR538W,7.69,8.5,16.0,10.73
YDR539W,17.11,22.9,31.0,23.67
YDR540C,,,15.0,15.0
YDR541C,,,28.0,28.0
YDR542W,2.37,,,2.37
YEL001C,48.93,17.3,35.0,33.7433333333
YEL002C,44.59,14.8,49.0,36.13
YEL003W,4.81,9.6,14.0,9.47
YEL004W,10.78,8.2,18.0,12.3266666667
YEL005C,4.28,13.9,50.0,22.7266666667
YEL006W,7.69,4.7,33.0,15.13
YEL007W,4.99,4.9,43.0,17.63
YEL009C,20.88,11.2,43.0,25.0266666667
YEL011W,17.17,,121.0,69.085
YEL012W,5.17,9.8,80.0,31.6566666667
YEL013W,31.52,49.2,32.0,37.5733333333
YEL015W,9.77,7.8,26.0,14.5233333333
YEL016C,10.73,3.8,21.0,11.8433333333
YEL017C-A,11.63,14.2,34.0,19.9433333333
YEL017W,11.73,5.6,22.0,13.11
YEL018W,5.67,4.2,29.0,12.9566666667
YEL019C,,1.4,,1.4
YEL020C,,,41.0,41.0
YEL020W-A,6.89,7.2,25.0,13.03
YEL021W,,31.8,11.0,21.4
YEL022W,11.85,28.0,28.0,22.6166666667
YEL023C,,,27.0,27.0
YEL024W,7.3,5.7,63.0,25.3333333333
YEL025C,13.49,,31.0,22.245
YEL026W,23.96,11.3,12.0,15.7533333333
YEL027W,55.68,20.7,42.0,39.46
YEL029C,15.98,3.3,27.0,15.4266666667
YEL030W,,17.5,21.0,19.25
YEL031W,42.09,8.6,33.0,27.8966666667
YEL032W,7.8,4.6,22.0,11.4666666667
YEL034W,24.5,,,24.5
YEL035C,,,48.0,48.0
YEL036C,13.23,4.3,33.0,16.8433333333
YEL037C,14.32,10.2,16.0,13.5066666667
YEL038W,36.06,9.5,51.0,32.1866666667
YEL040W,13.32,4.8,23.0,13.7066666667
YEL041W,,13.2,27.0,20.1
YEL042W,25.61,5.0,12.0,14.2033333333
YEL043W,7.24,17.3,29.0,17.8466666667
YEL044W,11.21,5.5,17.0,11.2366666667
YEL046C,13.6,4.9,10.0,9.5
YEL047C,18.43,,,18.43
YEL048C,4.49,2.6,,3.545
YEL049W,,,58.0,58.0
